stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:StopPlaceEntrance:26160:,,Mundaka,,"Calle Geltoki, 1 bajo / Mundaka",43.408842,-2.701078,ES:Euskotren:Zone:8:,,2,ES:Euskotren:StopPlace:2616:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26161:,,Mundaka,,"Calle Geltoki, 1 bajo / Mundaka",43.408842,-2.701078,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2616:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26162:,,Mundaka,,"Calle Geltoki, 1 bajo / Mundaka",43.408842,-2.701078,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2616:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2617:,,Zurbaranbarri-Bilbao,,Calle Zumaia / Bilbao,43.264229,-2.912749,ES:Euskotren:Zone:3:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26170:,,Zurbaranbarri-Bilbao,,Calle Zumaia / Bilbao,43.264229,-2.912749,ES:Euskotren:Zone:3:,,2,ES:Euskotren:StopPlace:2617:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26171:,,Zurbaranbarri-Bilbao,,Calle Zumaia / Bilbao,43.264229,-2.912749,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2617:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26172:,,Zurbaranbarri-Bilbao,,Calle Zumaia / Bilbao,43.264229,-2.912749,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2617:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2618:,,Durango,,"Calle Geltoki, 2 / Durango",43.170183,-2.636888,ES:Euskotren:Zone:7:,,1,,,2,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26180:,,Durango,,"Calle Geltoki, 2 / Durango",43.170183,-2.636888,ES:Euskotren:Zone:7:,,2,ES:Euskotren:StopPlace:2618:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26181:,,Durango,,"Calle Geltoki, 2 / Durango",43.170183,-2.636888,ES:Euskotren:Zone:7:,,0,ES:Euskotren:StopPlace:2618:,,0,ES:Euskotren:Level:1:,
