shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
vehiculo_1_shape_0,43.256347,-2.033693,0
vehiculo_1_shape_0,43.33629241732336,-1.7963203251367104,1
vehiculo_1_shape_0,43.30010931519302,-1.8601320847289469,2
vehiculo_1_shape_0,43.317462901149305,-1.912120453759104,3
vehiculo_1_shape_0,43.314284791861866,-1.977558587734272,4
vehiculo_1_shape_0,43.256347,-2.033693,5
vehiculo_1_shape_1,43.256347,-2.033693,0
vehiculo_1_shape_1,43.33629241732336,-1.7963203251367104,1
vehiculo_1_shape_1,43.30010931519302,-1.8601320847289469,2
vehiculo_1_shape_1,43.317462901149305,-1.912120453759104,3
vehiculo_1_shape_1,43.314284791861866,-1.977558587734272,4
vehiculo_1_shape_1,43.256347,-2.033693,5
vehiculo_2_shape_2,43.256347,-2.033693,0
vehiculo_2_shape_2,43.198330251582114,-2.040557475835417,1
vehiculo_2_shape_2,43.26179734860699,-1.9795216919729373,2
vehiculo_2_shape_2,43.27525054945238,-2.02711243066672,3
vehiculo_2_shape_2,43.28193935552405,-2.150095235134496,4
vehiculo_2_shape_2,43.256347,-2.033693,5
vehiculo_2_shape_3,43.256347,-2.033693,0
vehiculo_2_shape_3,43.198330251582114,-2.040557475835417,1
vehiculo_2_shape_3,43.26179734860699,-1.9795216919729373,2
vehiculo_2_shape_3,43.27525054945238,-2.02711243066672,3
vehiculo_2_shape_3,43.28193935552405,-2.150095235134496,4
vehiculo_2_shape_3,43.256347,-2.033693,5
