stop_id,stop_name,stop_lat,stop_lon
Depot,MUBIL,43.256347,-2.033693
P1,Salida Urbil,43.27525054945238,-2.02711243066672
P2,Puerto,43.317462901149305,-1.912120453759104
P3,Elizatxo 11,43.33629241732336,-1.7963203251367104
P4,Talaimendi 2,43.28193935552405,-2.150095235134496
P5,F. G. Lorca 6,43.314284791861866,-1.977558587734272
P6,Institutoa,43.26179734860699,-1.9795216919729373
P7,Iparralde Etorbidea-eliza,43.30010931519302,-1.8601320847289469
P8,"UBEGUN INDUSTRIALDEA, 1",43.198330251582114,-2.040557475835417
