stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type
1220,,1 Errepide Nazionala 15,43.085885567675554,-2.1506731477864935,5,0
1222,,Itsasondoko Plaza,43.067557906902756,-2.164964494279978,5,0
1227,,Arana Kalea,43.055247249952544,-2.177251400103895,5,0
1231,,Itsasondoko Anbulatorioa,43.06914155685291,-2.1635673836544926,5,0
1233,,Legorreta,43.08579425231713,-2.1505024114676705,5,0
1285,,Oriamendi 32- Zelaeta Berri Plaza,43.04734409750559,-2.203140630006342,5,0
1332,,Kaxeta,42.95831178126095,-2.1565616788251742,5,0
1333,,Ergoiena 11 -parkea,42.96534994215357,-2.1758265467248563,5,0
1334,,San Gregorio,42.97839583844469,-2.1805211924234897,5,0
1335,,Arrondo,42.99882809333383,-2.1792682390276714,5,0
1336,,San Martin - Udaletxea,43.00696850553856,-2.176754973056249,5,0
1337,,Hirigoien 34,43.029415875405846,-2.1840405462612713,5,0
1338,,Hirigoien  14,43.03200143398394,-2.1854669982478594,5,0
1339,,Elosegi - Eliza,43.035267704348364,-2.1863812854595195,5,0
1340,,Elosegi 58,43.0369446969316,-2.187942709549027,5,0
1341,,Joan Iturralde 7 Parean,43.04600521079793,-2.197105087797228,5,0
1342,,Ezkiaga 3,43.05181577896065,-2.189784803314617,5,0
1343,,Joseba Rezolaren Pasealekua,43.05282831270162,-2.1827478896487396,5,0
1345,,Urdaneta 46,43.05384499689875,-2.1838886329333507,5,0
1346,,Esteban Lasa 7,43.04784008822414,-2.1955218488904538,5,0
1347,,San Inazio 14,43.047156986577555,-2.198268739991132,5,0
1349,,Igartza Oleta 2,43.047795166785924,-2.2097526289516534,5,0
1350,,Igartza Oleta 14-  Loinazpe Institutua,43.04644485846203,-2.2137356687645062,5,0
1351,,Elosegi  58 Parean,43.03700859610423,-2.188064625263247,5,0
1352,,Herrigunea,43.03529497823469,-2.1864177516051457,5,0
1355,,San Martin - Eliza,43.00693310704983,-2.176841334708417,5,0
1356,,Astigarraga 20,42.99887364149126,-2.1793412421999996,5,0
1357,,San Gregorio 12,42.978333950994426,-2.180681448340914,5,0
1358,,Ergoiena 5 - Parkea,42.96534985386976,-2.175814286329644,5,0
1359,,Santa Fe 47,43.036570227385205,-2.1500155915502805,5,0
1361,,Elbarrena 11,43.04127875979348,-2.151092322175676,5,0
1362,,Ezkiaga 18 Parean,43.0517989877866,-2.189956927396112,5,0
1363,,Basozabal Industrialdea 11,43.03866179658513,-2.2172601121843307,5,0
1365,,Kale Nagusia 25 - Herrigunea,43.01174101750633,-2.2337995632933367,5,0
1367,,Harizti Indutrialdea-  201 Poligonoa,43.02873283780295,-2.2190801357244645,5,0
1368,,Kari De La Cruz 2,43.03794610555856,-2.2166308562719603,5,0
1370,,Usategi- Aparkalekua,43.04682891298619,-2.2106613129326655,5,0
1372,,Elbarrena 11,43.041115231714265,-2.150898150512592,5,0
1373,,Santa Fe 18 -udaletxea,43.03818831246891,-2.1508525803946386,5,0
1374,,Salbatore 5,43.04898318479258,-2.2308068242183703,5,0
1377,,Salbatore 2 Parean,43.04980188249727,-2.228021675199161,5,0
1378,,Herrigunea,43.05341829108282,-2.1332061472576234,5,0
1380,,Herrigunea,43.06253075292166,-2.1646274594401578,5,0
1382,,Hermanos Aseginolaza 10,42.97906954220391,-2.289394814300202,5,0
1383,,Zeraingo Bidegurutzea,43.00510535775669,-2.2613411698899886,5,0
1384,,Kale Nagusia 31,43.00837800965666,-2.253608571236957,5,0
1385,,Aitzgorri 16,43.01088997886439,-2.2521670280852666,5,0
1386,,Segura Barreiatua 28,43.013840803701854,-2.2503641646897057,5,0
1387,,Segura Barreiatua 24,43.01401260684949,-2.250472516334313,5,0
1388,,Aitzgorri 16 Parean,43.01080942198151,-2.2522416292814698,5,0
1389,,Kale Nagusia 31 Parean,43.008423190776256,-2.253632564462691,5,0
1390,,Segura Barreiatua 66 - Biribilgunea,43.005204325202875,-2.2613277145524378,5,0
1391,,Herrigunea - Irteera,43.0214532716921,-2.2717979588920145,5,0
1392,,Herrigunea,43.012233708646725,-2.272029608648458,5,0
1393,,Zebazelai 9,43.02630257549443,-2.204848894928827,5,0
1394,,Herrigunea,43.05049797823676,-2.2795337055654903,5,0
1398,,Kaxeta,42.95821273632472,-2.156563031707371,5,0
1500,,Tsaso - Santa Luzia-anduaga 31 - Udaletxea,43.06784241285517,-2.2825730419702204,5,0
1501,,Altzaga Sakabanatua 18 - Altzagarate,43.07022991964431,-2.1523878260361453,5,0
1531,,Senpere 5,43.04451241842246,-2.190998166672768,5,0
1653,,Abaliak Bidegurutzea,43.06278614824341,-2.1479709907417255,5,0
1891,,Lazkaibar,43.04962671568679,-2.1883893301138264,5,0
1971,,Segura Barreiatua,43.00213390760881,-2.266971392103715,5,0
1972,,Malkasko,43.054697569697964,-2.1872787109752663,5,0
1973,,Urdaneta 78,43.05466146648433,-2.1872669084092857,5,0
1974,,Berostegi,43.07760435329405,-2.1596442562694045,5,0
1975,,Ergoiena 20 Parean,42.9630578306342,-2.1689296143815566,5,0
1976,,Aia 13 - Eliza,42.96639514256928,-2.154918520656925,5,0
1977,,San Juan,43.059642228428245,-2.172341895852405,5,0
200,,Barrenaldea 6,42.9889157226607,-2.2770519130389992,5,0
2000,,Igartza Oleta 3- Antzizar Kiroldegia,43.04622321379485,-2.214241884675849,5,0
2003,,Tsaso - Ezkio Herrigunea 4,43.08090758807974,-2.2752955315753742,5,0
2004,,Tsaso - Itsaso Hirigunea 6 - Eliza,43.07247279640968,-2.257461850392086,5,0
2479,,Elbarrena 32,43.04701853451062,-2.1540212379776844,5,0
2488,,Ihurre Gasolindegia,43.03881276677841,-2.216951287952087,5,0
2489,,Errekalde,43.02887480919901,-2.1902707414682445,5,0
3163,,Goierri Campusa,43.047300820788664,-2.182956336478206,5,0
3236,,Tsaso - Errekarraena 1 Parean,43.06579348873868,-2.2775123553012184,5,0
3244,,Tsaso - Santa Luzi 2,43.06004787621917,-2.2703343586203504,5,0
3245,,Tsaso - Santa Luzi 2,43.05998539507422,-2.2704210626415735,5,0
3249,,Errekalde,43.028911259576,-2.1903316334176846,5,0
3414,,Eitzaga Biribilgunea - San Gregorio,43.08664308705374,-2.310168640061238,5,0
3683,,Ugarana,43.04666876499075,-2.2834951364470686,5,0
3820,,Argixao 6,43.08369294447923,-2.3152386678818986,5,0
4147,,Zaldbidea 7 Parean,43.05470283665001,-2.1679631999561635,5,0
4148,,Gudarien Etorbidea,43.05391973539016,-2.17173122493952,5,0
4149,,Bizkaia Pasealekua,43.05392762061677,-2.1753166480240638,5,0
4150,,N-1 Errepidea 7 - Industrialdea,43.042357773631714,-2.2165256174955084,5,0
4151,,Kari De La Cruz 12,43.03664943187653,-2.2166350760966878,5,0
4152,,Harizti Industrialdea- Gasolindegia,43.03404806427334,-2.218104371222019,5,0
4153,,Harizti Industrialgunea-  201 Poligonoa Parean,43.02892192418545,-2.219077738473314,5,0
4154,,Errota Industrialdea,43.0239817741781,-2.2248965159982426,5,0
4155,,Herrigune Barreiatua 2 - Olaondo,43.022082161980634,-2.2302959323574947,5,0
4157,,Kale Nagusia 8,43.01498157232988,-2.2322744282464124,5,0
4158,,Errota Industrialdea 3 - Idiazabalerantz,43.02420197124616,-2.2241696212945037,5,0
4159,,Harizti Indutrialdea 1- Supermerkatua,43.03519832452444,-2.217758328781307,5,0
4160,,Basozabal Industrialdea 3,43.0414391045903,-2.216500477629353,5,0
4161,,Zaldizurreta 7,43.0465078586062,-2.1943114862073947,5,0
4162,,Joseba Rezola Pasealekua,43.05340125040745,-2.1759990523000146,5,0
4163,,Gudarien Etorbidea,43.05403527604338,-2.171520922985196,5,0
4164,,Zaldbidea 7,43.05472066601974,-2.1679384001639916,5,0
4180,,Oiangurenbidea,43.05239461223519,-2.1737654905037544,5,0
