table_name,field_name,language,translation,record_id,record_sub_id,field_value
feed_info,feed_publisher_url,es,https://www.euskotren.eus/es,,,
feed_info,feed_publisher_url,eu,https://www.euskotren.eus/eu,,,
feed_info,feed_publisher_url,fr,https://www.euskotren.eus/fr,,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25811:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25812:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25813:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25814:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25815:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25816:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25817:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:Quay:25818:,,
stops,stop_name,fr,Hendaye,ES:Euskotren:Quay:25821:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:StopPlace:2581:,,
stops,stop_name,fr,Hendaye,ES:Euskotren:StopPlace:2582:,,
stops,stop_name,fr,Saint-Sébastien-Donostia,ES:Euskotren:StopPlaceEntrance:25810:,,
stops,stop_name,fr,Hendaye,ES:Euskotren:StopPlaceEntrance:25820:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10734440:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735220:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735240:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735260:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735280:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735300:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735320:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735340:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735360:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735380:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735400:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735420:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735440:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735460:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735480:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735500:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735520:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735540:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735560:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735580:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735600:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735620:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735640:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735660:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735680:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735700:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735720:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735740:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735760:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735780:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735800:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735820:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735840:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735860:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735880:,,
