fare_id,route_id,origin_id,destination_id,contains_id
ES:Euskotren:Fare:3046:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:3056:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:3066:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:3076:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:3106:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:3185:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:32562:,,ES:Euskotren:Zone:20:,ES:Euskotren:Zone:20:,
ES:Euskotren:Fare:3302:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:3329:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:3374:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:3455:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:3473:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:3511:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:36415:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36451:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:36469:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36479:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36489:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:36499:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36509:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36519:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:36618:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:36627:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:36636:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36744:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36762:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:36789:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:36897:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:36944:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:37087:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:37128:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37182:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37191:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37201:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37211:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37221:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37340:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:37349:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37457:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37475:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:3752:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:37565:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:37610:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37848:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37852:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:37910:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:2:,
