route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
6120071801GL026,2024-08-072024-08-07002643,0026432024-08-07,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-082024-08-08002643,0026432024-08-08,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-092024-08-09002643,0026432024-08-09,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-102024-08-13002643,0026432024-08-10,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-142024-08-14002643,0026432024-08-14,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-152024-08-15002643,0026432024-08-15,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-162024-08-16002643,0026432024-08-16,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-172024-08-20002643,0026432024-08-17,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-212024-08-21002643,0026432024-08-21,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-222024-08-22002643,0026432024-08-22,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-232024-08-23002643,0026432024-08-23,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-242024-08-27002643,0026432024-08-24,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-282024-08-28002643,0026432024-08-28,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-292024-08-29002643,0026432024-08-29,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-302024-08-30002643,0026432024-08-30,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-08-312024-09-01002643,0026432024-08-31,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-022024-09-03002643,0026432024-09-02,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-042024-09-04002643,0026432024-09-04,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-052024-09-05002643,0026432024-09-05,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-062024-09-06002643,0026432024-09-06,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-072024-09-10002643,0026432024-09-07,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-112024-09-11002643,0026432024-09-11,,00264,,,,2                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-09-122024-12-07002643,0026432024-09-12,,00264,,,,2                                                                                                                                                                                                                                                                                       
1700056312GL026,2024-07-162024-09-15002761,0027612024-07-16,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2024-07-162024-09-15002762,0027622024-07-16,,00276,,,,2                                                                                                                                                                                                                                                                                       
5631217000GL026,2024-07-162024-09-15002771,0027712024-07-16,,00277,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2024-07-162024-09-15002772,0027722024-07-16,,00277,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL026,2024-07-162024-12-07002801,0028012024-07-16,,00280,,,,1                                                                                                                                                                                                                                                                                       
1120013200GL026,2024-12-082024-12-14002801,0028012024-12-08,,00280,,,,2                                                                                                                                                                                                                                                                                       
1151111208GL026,2024-07-162024-07-26002811,0028112024-07-16,,00281,,,,1                                                                                                                                                                                                                                                                                       
1151111200GL026,2024-07-272024-07-28002811,0028112024-07-27,,00281,,,,1                                                                                                                                                                                                                                                                                       
1151111208GL026,2024-07-292024-08-21002811,0028112024-07-29,,00281,,,,1                                                                                                                                                                                                                                                                                       
1151111200GL026,2024-08-222024-09-02002811,0028112024-08-22,,00281,,,,1                                                                                                                                                                                                                                                                                       
1151111208GL026,2024-09-032024-12-07002811,0028112024-09-03,,00281,,,,1                                                                                                                                                                                                                                                                                       
1151111208GL026,2024-12-082024-12-14002811,0028112024-12-08,,00281,,,,2                                                                                                                                                                                                                                                                                       
1120811511GL026,2024-07-162024-07-26002821,0028212024-07-16,,00282,,,,1                                                                                                                                                                                                                                                                                       
1120011511GL026,2024-07-272024-07-28002821,0028212024-07-27,,00282,,,,1                                                                                                                                                                                                                                                                                       
1120811511GL026,2024-07-292024-08-21002821,0028212024-07-29,,00282,,,,1                                                                                                                                                                                                                                                                                       
1120011511GL026,2024-08-222024-09-02002821,0028212024-08-22,,00282,,,,1                                                                                                                                                                                                                                                                                       
1120811511GL026,2024-09-032024-12-07002821,0028212024-09-03,,00282,,,,1                                                                                                                                                                                                                                                                                       
1120811511GL026,2024-12-082024-12-14002821,0028212024-12-08,,00282,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL026,2024-07-162024-12-07002831,0028312024-07-16,,00283,,,,1                                                                                                                                                                                                                                                                                       
1320011200GL026,2024-12-082024-12-14002831,0028312024-12-08,,00283,,,,2                                                                                                                                                                                                                                                                                       
2230894346GL026,2024-07-162024-09-30004201,0042012024-07-16,,00420,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2024-07-162024-09-30004211,0042112024-07-16,,00421,,,,2                                                                                                                                                                                                                                                                                       
2230894346GL026,2024-07-162024-09-30004221,0042212024-07-16,,00422,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2024-07-162024-09-30004231,0042312024-07-16,,00423,,,,2                                                                                                                                                                                                                                                                                       
1320071801GL023,2024-07-162024-12-07004371,0043712024-07-16,,00437,,,,1                                                                                                                                                                                                                                                                                       
1320071801GL023,2024-12-082024-12-14004371,0043712024-12-08,,00437,,,,1                                                                                                                                                                                                                                                                                       
0404071801GL023,2024-07-162024-12-07004372,0043722024-07-16,,00437,,,,2                                                                                                                                                                                                                                                                                       
0404071801GL023,2024-12-082024-12-14004372,0043722024-12-08,,00437,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL023,2024-07-162024-12-07004373,0043732024-07-16,,00437,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL023,2024-12-082024-12-14004373,0043732024-12-08,,00437,,,,2                                                                                                                                                                                                                                                                                       
7180113200GL023,2024-07-162024-12-07004381,0043812024-07-16,,00438,,,,1                                                                                                                                                                                                                                                                                       
7180113200GL023,2024-12-082024-12-14004381,0043812024-12-08,,00438,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2024-07-162024-12-07004382,0043822024-07-16,,00438,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2024-12-082024-12-14004382,0043822024-12-08,,00438,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL023,2024-07-162024-12-07004383,0043832024-07-16,,00438,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL023,2024-12-082024-12-14004383,0043832024-12-08,,00438,,,,2                                                                                                                                                                                                                                                                                       
6120071801GL026,2024-07-162024-12-07004601,0046012024-07-16,,00460,,,,1                                                                                                                                                                                                                                                                                       
7180161200GL026,2024-07-162024-12-07004631,0046312024-07-16,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-07-162024-08-01005301,0053012024-07-16,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-022024-08-04005301,0053012024-08-02,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-052024-08-20005301,0053012024-08-05,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-212024-08-22005301,0053012024-08-21,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-232024-08-25005301,0053012024-08-23,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-262024-09-02005301,0053012024-08-26,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-09-032024-12-07005301,0053012024-09-03,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-12-082024-12-14005301,0053012024-12-08,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-07-162024-08-01005302,0053022024-07-16,,00530,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-022024-08-04005302,0053022024-08-02,,00530,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-052024-08-20005302,0053022024-08-05,,00530,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-212024-08-21005302,0053022024-08-21,,00530,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2024-08-222024-08-22005302,0053022024-08-22,,00530,,,,2                                                                                                                                                                                                                                                                                       
