route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
21,12,21_2106_12_42000,,Itsasondo,0,,shp_21_2106,0,0
4,4,4_414_4_28500,,Legorreta,1,,shp_4_414,0,0
21,1,21_2108_1_62700,,Altzaga,1,,shp_21_2108,0,0
4,3,4_406_3_59100,,Ataun-kase,0,,shp_4_406,0,0
4,3,4_415_3_36300,,Legorreta,1,,shp_4_415,0,0
6,1,6_608_1_35400,,Ezkio,1,,shp_6_608,0,0
4,1,4_404_1_38700,,Ataun-smar,0,,shp_4_404,0,0
6,12,6_605_12_33900,,Ezkio,0,,shp_6_605,0,0
6,1,6_606_1_46500,,Ormaiztegi,0,,shp_6_606,0,0
6,18,6_607_18_60900,,Zumarraga,0,,shp_6_607,0,0
22,12,22_2201_12_45300,,Segura,0,,shp_22_2201,0,0
4,18,4_403_18_28200,,Ataun-sgre,0,,shp_4_403,0,0
6,2,6_602_2_71400,,Gabiria,1,,shp_6_602,0,0
1,12,1_105_12_60300,,Zegama,1,,shp_1_105,0,0
5,17,5_503_17_82800,,Beasain,0,,shp_5_503,0,0
21,12,21_2108_12_53700,,Altzaga,1,,shp_21_2108,0,0
5,1,5_503_1_79200,,Beasain,0,,shp_5_503,0,0
1,17,1_106_17_63000,,Zegama,1,,shp_1_106,0,0
1,18,1_106_18_45000,,Zegama,1,,shp_1_106,0,0
4,12,4_418_12_48900,,Ordizia,1,,shp_4_418,0,0
5,3,5_512_3_50400,,Lazkao,1,,shp_5_512,0,0
1,18,1_102_18_51900,,Zaldibia,0,,shp_1_102,0,0
21,12,21_2106_12_26700,,Itsasondo,0,,shp_21_2106,0,0
1,1,1_105_1_62100,,Zegama,1,,shp_1_105,0,0
21,2,21_2108_2_47700,,Altzaga,1,,shp_21_2108,0,0
23,17,23_2302_17_50100,,Gaintza,1,,shp_23_2302,0,0
3,12,3_302_12_28500,,Beasain,1,,shp_3_302,0,0
6,18,6_603_18_50700,,Itsaso,0,,shp_6_603,0,0
5,3,5_501_3_25200,,Ospitalea,0,,shp_5_501,0,0
21,17,21_2104_17_64500,,Altzaga,1,,shp_21_2104,0,0
6,4,6_603_4_34500,,Itsaso,0,,shp_6_603,0,0
6,4,6_606_4_38400,,Ormaiztegi,0,,shp_6_606,0,0
41,3,41_4101_3_9900,,Zegama,0,,shp_41_4101,0,0
4,1,4_439_1_67200,,Ordizia,1,,shp_4_439,0,0
4,1,4_406_1_59100,,Ataun-kase,0,,shp_4_406,0,0
1,17,1_102_17_41400,,Zaldibia,0,,shp_1_102,0,0
4,1,4_415_1_51000,,Legorreta,1,,shp_4_415,0,0
6,19,6_601_19_33900,,Ormaiztegi,0,,shp_6_601,0,0
6,4,6_608_4_29400,,Ezkio,1,,shp_6_608,0,0
1,18,1_102_18_62700,,Zaldibia,0,,shp_1_102,0,0
5,19,5_501_19_50400,,Ospitalea,0,,shp_5_501,0,0
5,1,5_502_1_28800,,Lazkao,1,,shp_5_502,0,0
4,17,4_405_17_69300,,Ataun-aia,0,,shp_4_405,0,0
23,1,23_2302_1_57300,,Gaintza,1,,shp_23_2302,0,0
1,1,1_107_1_66300,,Zegama,0,,shp_1_107,0,0
6,1,6_602_1_78900,,Gabiria,1,,shp_6_602,0,0
1,18,1_102_18_34200,,Zaldibia,0,,shp_1_102,0,0
4,19,4_403_19_49800,,Ataun-sgre,0,,shp_4_403,0,0
1,18,1_106_18_34200,,Zegama,1,,shp_1_106,0,0
4,12,4_414_12_35700,,Legorreta,1,,shp_4_414,0,0
4,12,4_412_12_23700,,Ataun-aia,0,,shp_4_412,0,0
6,18,6_603_18_64500,,Itsaso,0,,shp_6_603,0,0
6,18,6_611_18_27600,,Ormaiztegi,0,,shp_6_611,0,0
21,3,21_2105_3_48000,,Ordizia,0,,shp_21_2105,0,0
1,19,1_102_19_73800,,Zaldibia,0,,shp_1_102,0,0
6,12,6_603_12_32700,,Itsaso,0,,shp_6_603,0,0
21,1,21_2102_1_43200,,Altzaga,1,,shp_21_2102,0,0
4,1,4_413_1_39300,,Legorreta,1,,shp_4_413,0,0
4,18,4_401_18_53400,,Ataun-aia,0,,shp_4_401,0,0
21,1,21_2105_1_72600,,Ordizia,0,,shp_21_2105,0,0
4,4,4_418_4_41700,,Ordizia,1,,shp_4_418,0,0
21,17,21_2105_17_75600,,Ordizia,0,,shp_21_2105,0,0
4,2,4_415_2_61500,,Legorreta,1,,shp_4_415,0,0
5,17,5_512_17_64800,,Lazkao,1,,shp_5_512,0,0
21,17,21_2103_17_63600,,Ordizia,0,,shp_21_2103,0,0
4,12,4_418_12_70200,,Ordizia,1,,shp_4_418,0,0
4,12,4_438_12_72600,,Legorreta,1,,shp_4_438,0,0
4,4,4_414_4_39600,,Legorreta,1,,shp_4_414,0,0
6,18,6_605_18_51900,,Ezkio,0,,shp_6_605,0,0
3,4,3_301_4_67800,,Lazkao,0,,shp_3_301,0,0
1,1,1_101_1_63900,,Zaldibia,0,,shp_1_101,0,0
6,1,6_601_1_32100,,Ormaiztegi,0,,shp_6_601,0,0
23,12,23_2301_12_58500,,Ordizia,0,,shp_23_2301,0,0
23,3,23_2301_3_39900,,Ordizia,0,,shp_23_2301,0,0
4,12,4_418_12_21900,,Ordizia,1,,shp_4_418,0,0
