,Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
40,1116,Donostialdea,Donostialdea,Lezo,Errenteria,Moto,08:00,22,Errenteria,2,2,2,2 adultos con niño(s),1,4,1,1,2021,20912.65,1,-1.900912027063476,43.320525377314624,-2.033693,43.256347
41,178,Bidasoa,Donostialdea,Irun,Errenteria,EUSKOTREN,08:00,22,Errenteria,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23351.76,2,-1.7769058378986586,43.33710909592443,-2.033693,43.256347
42,1513,Donostialdea,Donostialdea,Usurbil,Lasarte-Oria,Andando,08:00,99,Lasarte-Oria,2,3,2,Otros hogares con niños,2,3,1,1,2021,23513.035,2,-2.072324946181563,43.27718749874326,-2.033693,43.256347
43,2495,Donostialdea,Donostialdea,Usurbil,Pasaia,Coche conductor,08:00,22,Usurbil,1,2,1,Hogar de una persona,1,4,1,1,2021,23578.82,2,-2.049487861547299,43.27418426301247,-2.033693,43.256347
44,2225,Bidasoa,Donostialdea,Irun,Errenteria,Coche conductor,08:00,23,Errenteria,2,2,2,2 adultos con niño(s),2,4,1,1,2021,21265.62,1,-1.8015819439723333,43.33343958324836,-2.033693,43.256347
45,218,Donostialdea,Donostialdea,Pasaia,Errenteria,Coche conductor,08:00,99,Errenteria,2,3,1,Otros hogares con niños,1,4,1,1,2021,26038.81,4,-1.9214352390042488,43.328345991111874,-2.033693,43.256347
46,1228,Bidasoa,Donostialdea,Hondarribia,Errenteria,Moto,08:00,22,Errenteria,2,2,2,2 adultos con niño(s),1,5,1,1,2021,23474.77,2,-1.7932475549308773,43.36594909129206,-2.033693,43.256347
47,2046,Debabarrena,Donostialdea,Eibar,Donostia/San Sebastian,Coche conductor,08:00,99,Eibar,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27745.709999999995,4,-2.4723261718011544,43.1847920788969,-2.033693,43.256347
48,1124,Donostialdea,Donostialdea,Errenteria,Andoain,Coche conductor,08:00,22,Errenteria,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25227.96,3,-1.8989753998045564,43.313030894157095,-2.033693,43.256347
49,866,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,08:00,22,Lasarte-Oria,2,2,1,1 adulto con niño(s),2,3,1,1,2021,23316.685,2,-2.0180491937095435,43.269593955669954,-2.033693,43.256347
