alpha,beta,k,m,CO2 total
0.7,1.0,5,1,3810.2270140046403
0.7,7.0,5,1,4346.555794641759
0.7,7.0,5,3,3309.5531765784003
0.1,1.0,8,1,4064.46657525984
0.1,1.0,7,2,3505.0320067598395
0.1,1.0,7,4,3471.98978875984
0.1,1.0,7,6,3548.8125458195204
0.1,1.0,8,3,3141.95033093008
0.1,1.0,6,5,3503.4080255296003
0.1,1.0,7,1,4169.492354759839
0.1,1.0,8,8,3393.98491098976
0.1,1.0,3,3,3319.96391564176
0.1,1.0,4,4,3543.52209309584
0.1,1.0,4,2,3596.7209155295996
0.1,1.0,7,7,3571.41644581952
0.1,1.0,4,3,3636.7374295295995
0.1,1.0,4,1,4183.93720025984
0.1,1.0,7,3,3406.75207831952
0.1,1.0,7,5,3506.1041384300797
0.1,1.0,8,5,3258.0145789897597
0.1,1.0,8,7,3376.9094354897597
0.1,1.0,8,6,3268.81612758928
