vehiculo,parada_0,parada_1,parada_2,parada_3,parada_4,parada_5
vehiculo_1,"43.2563,-2.0337","43.3363,-1.7963","43.3001,-1.8601","43.3175,-1.9121","43.3143,-1.9776","43.2563,-2.0337"
vehiculo_2,"43.2563,-2.0337","43.1983,-2.0406","43.2618,-1.9795","43.2753,-2.0271","43.2819,-2.1501","43.2563,-2.0337"
