id_origen,Depot,P1,P2,P3,P4,P5,P6,P7,P8
Depot,0.0,4.4556911999999995,19.1167,17.4167,12.7667,12.422313599999999,9.65,14.7167,7.1333
P1,5.5667,0.0,15.6167,24.0833,9.4,9.041634,6.15,16.15,9.0333
P2,17.5833,14.9822556,0.0,13.35,19.0333,7.1644884,13.6333,5.8167,21.0667
P3,16.85,27.242636400000002,13.5333,0.0,19.7667,19.424869199999996,15.0,11.55,18.6167
P4,12.3167,15.5908452,22.5333,20.6333,0.0,21.7895148,14.2333,17.9167,15.8
P5,11.4667,9.041634,11.0833,24.0,12.9,0.0,11.5167,12.0833,14.9333
P6,9.9,6.2520923999999996,13.8167,15.1333,15.2833,9.267445200000001,0.0,12.4167,6.9667
P7,19.05,20.1501324,8.7,11.3833,21.9667,12.820662,17.55,0.0,19.8
P8,10.2667,11.240240400000001,25.3667,21.4833,19.0333,18.95166,9.6833,18.7833,0.0
