Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
1011,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,99,Donostia/San Sebastian,2,1,1,2 adultos con niño(s),2,4,1,2,2021,20678.5,1,-1.937948833561213,43.32449229921456,-2.033693,43.256347
9328,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),1,5,1,1,2021,28185.41,4,-2.0063005368177294,43.31955794218045,-2.033693,43.256347
10046,Debabarrena,Urola Kosta       ,Eibar,Zarautz,Coche pasajero,08:00,22,Eibar,1,1,1,Hogar de una persona,1,4,1,1,2021,22208.4,1,-2.4664220596265123,43.18641407668701,-2.033693,43.256347
6262,Debabarrena,Debabarrena,Mutriku,Mutriku,Andando,08:00,22,Mutriku,1,2,1,2 adultos,2,5,1,1,2021,24476.31,3,-2.385933252948642,43.30690708580167,-2.033693,43.256347
9300,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,23,Donostia/San Sebastian,2,1,1,Otros hogares con niños,2,4,1,2,2021,20506.9,1,-1.936609804831257,43.31596678511765,-2.033693,43.256347
1260,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche pasajero,08:00,99,Errenteria,2,3,2,Otros hogares con niños,2,5,1,1,2021,23180.16,2,-2.0366209287906583,43.31077588571068,-2.033693,43.256347
5656,Goierri                              ,Goierri                              ,Urretxu,Urretxu,Andando,08:00,22,Urretxu,2,3,1,Otros hogares con niños,1,3,1,2,2021,21727.835,1,-2.3218988324675247,43.0868811921057,-2.033693,43.256347
2252,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,08:00,22,Errenteria,2,2,2,2 adultos con niño(s),2,5,1,1,2021,21756.57,1,-1.90355635598299,43.3122763055932,-2.033693,43.256347
365,Goierri                              ,Goierri                              ,Legazpi,Urretxu,Coche conductor,08:00,22,Legazpi,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27773.709999999995,4,-2.3356353232144467,43.048507359564965,-2.033693,43.256347
558,Urola Kosta       ,Tolosaldea,Orio,Villabona,Coche conductor,08:00,22,Villabona,2,4,2,2 adultos con niño(s),1,5,1,1,2021,27611.11,4,-2.125517348875936,43.27654770982649,-2.033693,43.256347
8580,Bidasoa,Bidasoa,Hondarribia,Irun,Bicicleta,08:00,23,Irun,2,1,1,Otros hogares con niños,1,4,1,2,2021,20769.05,1,-1.792079712545276,43.36331204514477,-2.033693,43.256347
1628,Tolosaldea,Donostialdea,Villabona,Errenteria,Coche conductor,08:00,22,Villabona,2,3,2,Otros hogares sin niños,2,3,1,1,2021,18845.675,1,-2.053371081388688,43.18845614722525,-2.033693,43.256347
4642,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Bicicleta,08:00,99,Donostia/San Sebastian,2,1,1,Otros hogares con niños,1,5,1,2,2021,22716.05,2,-1.9560058491813377,43.28633497009325,-2.033693,43.256347
9397,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,4,1,2,2021,24992.16,3,-1.930366238165015,43.32085818050284,-2.033693,43.256347
3805,Bidasoa,Bidasoa,Irun,Irun,Autobús urbano,08:00,22,Irun,1,2,2,2 adultos,2,5,1,1,2021,22616.620000000003,1,-1.7956969696055225,43.33894097698335,-2.033693,43.256347
5884,Donostialdea,Donostialdea,Hernani,Andoain,Coche conductor,08:00,99,Andoain,1,3,2,2 adultos,1,6,1,1,2021,28056.81,4,-1.9837362391783688,43.27183668053628,-2.033693,43.256347
1105,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,22,Donostia/San Sebastian,1,1,1,Hogar de una persona,2,5,1,1,2021,23492.02,2,-2.002375420820492,43.31315923788593,-2.033693,43.256347
4733,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,1,5,1,1,2021,28013.81,4,-1.999432546688532,43.31179573036839,-2.033693,43.256347
955,Donostialdea,Donostialdea,Hernani,Andoain,Coche conductor,08:00,99,Andoain,1,3,2,2 adultos,1,6,1,1,2021,28056.81,4,-1.9691462822531287,43.2720372371318,-2.033693,43.256347
2753,Donostialdea,Donostialdea,Pasaia,Errenteria,Autobús interurbano,08:00,22,Pasaia,1,1,1,2 adultos,2,3,1,2,2021,18975.625,1,-1.9366681092628024,43.32260180391999,-2.033693,43.256347
8946,Urola Kosta       ,Urola Kosta       ,Azkoitia,Azpeitia,Coche conductor,08:00,22,Azpeitia,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27809.709999999995,4,-2.310571820293156,43.17848529793475,-2.033693,43.256347
5861,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,1,4,2,2 adultos,2,5,1,1,2021,24932.11,3,-1.9731384036873647,43.322469554874566,-2.033693,43.256347
