,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
959,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,20:30,22,Donostia/San Sebastian,2,3,2,Otros hogares con niños,2,6,1,1,2021,25534.31,3,-1.9833032993882902,43.319595297613645,-2.033693,43.256347
960,Donostialdea,Donostialdea,Andoain,Donostia/San Sebastian,Coche conductor,09:00,23,Andoain,2,3,1,Otros hogares sin niños,1,4,1,1,2021,24436.16,3,-2.0184792574653025,43.2183890768449,-2.033693,43.256347
961,Donostialdea,Donostialdea,Donostia/San Sebastian,Oiartzun,Coche conductor,07:30,22,Donostia/San Sebastian,1,2,1,2 adultos,1,6,1,1,2021,23340.15,2,-1.9514773128606668,43.31671400758795,-2.033693,43.256347
962,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,15:00,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),1,5,1,1,2021,28185.41,4,-1.985871729792141,43.31582912511257,-2.033693,43.256347
963,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Coche conductor,15:00,22,Donostia/San Sebastian,2,2,2,Otros hogares sin niños,1,3,1,1,2021,22642.935,1,-1.7881987244370523,43.34092580443712,-2.033693,43.256347
964,Bidasoa,Bidasoa,Irun,Hondarribia,Autobús interurbano,13:25,23,Hondarribia,2,2,1,2 adultos con niño(s),2,5,1,2,2021,24074.96,3,-1.8069831285319577,43.34031091487734,-2.033693,43.256347
965,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,16:45,22,Donostia/San Sebastian,1,3,1,2 adultos,1,4,1,1,2021,23828.42,2,-1.9532520163482427,43.322282936445106,-2.033693,43.256347
966,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.430876609141816,43.03939285214953,-2.033693,43.256347
967,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,18:00,99,Errenteria,2,3,2,Otros hogares con niños,1,5,1,1,2021,27265.51,4,-1.9729442006057483,43.324687718135785,-2.033693,43.256347
968,Donostialdea,Donostialdea,Usurbil,Hernani,Coche conductor,13:50,22,Hernani,1,2,1,Hogar de una persona,1,5,1,1,2021,26225.31,4,-2.053174157528728,43.29722501696852,-2.033693,43.256347
969,Goierri                              ,Debagoiena,Beasain,Bergara,Coche conductor,15:30,22,Bergara,2,3,1,Otros hogares con niños,1,5,1,1,2021,27741.91,4,-2.2070326348651994,43.04811807914814,-2.033693,43.256347
970,Urola Kosta       ,Donostialdea,Orio,Andoain,Coche conductor,20:40,22,Orio,1,2,1,Hogar de una persona,1,4,1,1,2021,22378.5,1,-2.1266425150383603,43.27857542259121,-2.033693,43.256347
971,Debabarrena,Goierri                              ,Eibar,Beasain,Coche conductor,06:30,21,Eibar,2,2,3,Otros hogares sin niños,2,4,1,1,2021,20664.5,1,-2.4837554903018577,43.18240738310719,-2.033693,43.256347
972,Goierri                              ,Debagoiena,Zumarraga,Bergara,Coche conductor,08:30,22,Zumarraga,2,2,1,Otros hogares con niños,2,5,1,1,2021,21740.07,1,-2.316252626384369,43.08387781381257,-2.033693,43.256347
973,Urola Kosta       ,Urola Kosta       ,Zarautz,Zarautz,Bicicleta,14:30,99,Zarautz,2,2,1,Otros hogares con niños,2,5,1,1,2021,23830.96,2,-2.161208372899946,43.283268762637846,-2.033693,43.256347
974,Bidasoa,Bidasoa,Hondarribia,Irun,Coche conductor,22:30,22,Irun,2,3,3,2 adultos con niño(s),2,5,1,1,2021,23379.76,2,-1.8037637950391072,43.3454568739427,-2.033693,43.256347
975,Urola Kosta       ,Urola Kosta       ,Zarautz,Zarautz,Bicicleta,15:00,22,Zarautz,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25878.76,3,-2.161234503131503,43.28479494015288,-2.033693,43.256347
976,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Coche pasajero,08:00,22,Pasaia,1,2,2,Hogar de una persona,2,4,1,1,2021,23745.56,3,-1.9175807519194674,43.31875504800031,-2.033693,43.256347
977,Debagoiena,Debagoiena,Arrasate/Mondragon,Arrasate/Mondragon,Andando,13:00,22,Arrasate/Mondragon,2,4,1,2 adultos con niño(s),1,5,1,1,2021,25401.56,3,-2.488844593190402,43.066326540622434,-2.033693,43.256347
