Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
8072,Donostialdea,Bidasoa,Donostia/San Sebastian,Irun,Coche conductor,08:00,22,Irun,2,4,1,Otros hogares sin niños,1,3,1,1,2021,24289.785,3,-1.9673578546060544,43.32619190555745,-2.033693,43.256347
686,Urola Kosta       ,Urola Kosta       ,Zumaia,Zumaia,Coche conductor,08:00,22,Zumaia,2,2,1,2 adultos con niño(s),1,5,1,1,2021,24066.17,3,-2.234231675612319,43.28478174749854,-2.033693,43.256347
7969,Debabarrena,Donostialdea,Mutriku,Donostia/San Sebastian,Coche conductor,08:00,22,Mutriku,2,3,1,Otros hogares sin niños,2,5,1,1,2021,26437.11,3,-2.3960948172716177,43.31188105431939,-2.033693,43.256347
1091,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,21,Donostia/San Sebastian,2,3,1,Otros hogares sin niños,2,3,1,2,2021,22350.585,1,-1.9592099681175887,43.30420142823876,-2.033693,43.256347
6678,Debagoiena,Debabarrena,Arrasate/Mondragon,Elgoibar,Coche conductor,08:00,22,Elgoibar,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23753.76,2,-2.497682073752423,43.062837178714375,-2.033693,43.256347
2890,Goierri                              ,Goierri                              ,Zumarraga,Zumarraga,Andando,08:00,22,Zumarraga,1,2,1,2 adultos,2,7,1,2,2021,21388.52,1,-2.314355365267192,43.08661167425102,-2.033693,43.256347
9568,Donostialdea,Donostialdea,Errenteria,Errenteria,Coche conductor,08:00,22,Errenteria,1,2,1,Hogar de una persona,2,5,1,1,2021,22743.72,2,-1.8941291063314565,43.30882342114883,-2.033693,43.256347
10628,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche pasajero,08:00,99,Errenteria,2,3,2,Otros hogares con niños,2,5,1,1,2021,25547.31,3,-1.9914394233397776,43.29600260167758,-2.033693,43.256347
4517,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,23,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),2,4,1,1,2021,23609.11,2,-1.971802145686332,43.32043115912668,-2.033693,43.256347
7458,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,4,3,Otros hogares con niños,1,5,1,1,2021,28013.81,4,-1.947588273853868,43.32042474863941,-2.033693,43.256347
