Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
5475,Donostialdea,Donostialdea,Oiartzun,Oiartzun,Coche conductor,08:00,22,Oiartzun,2,3,1,2 adultos con niño(s),2,5,1,1,2021,26110.209999999995,4,-1.8634049331591456,43.29985120783124,-2.033693,43.256347
1902,Donostialdea,Donostialdea,Lezo,Oiartzun,Coche conductor,08:00,22,Irun,2,3,2,2 adultos con niño(s),1,5,1,1,2021,27465.11,4,-1.8969554167767697,43.32308329738342,-2.033693,43.256347
4779,Donostialdea,Donostialdea,Errenteria,Errenteria,Autobús urbano,08:00,22,Errenteria,2,3,1,Otros hogares sin niños,2,5,1,1,2021,20846.85,1,-1.9038194939194504,43.31462201260835,-2.033693,43.256347
5226,Bidasoa,Bidasoa,Irun,Hondarribia,Coche conductor,08:00,22,Irun,2,3,3,2 adultos con niño(s),2,5,1,1,2021,25746.91,3,-1.775403302781426,43.3298635074808,-2.033693,43.256347
7304,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,99,Donostia/San Sebastian,2,2,1,Otros hogares sin niños,1,4,1,1,2021,22086.65,1,-1.9719073191594136,43.31625591205192,-2.033693,43.256347
8517,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,Coche conductor,08:00,22,Irun,2,4,1,Otros hogares sin niños,1,3,1,1,2021,24289.785,3,-1.807415219333935,43.33983631050653,-2.033693,43.256347
4275,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,2,2,2,Otros hogares sin niños,2,4,1,1,2021,24034.81,2,-2.0039882066785912,43.31471692259422,-2.033693,43.256347
10309,Bidasoa,Bidasoa,Irun,Hondarribia,Coche conductor,08:00,22,Hondarribia,2,3,1,Otros hogares con niños,1,4,1,1,2021,26762.01,4,-1.819350790517472,43.33318703093714,-2.033693,43.256347
810,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,1,2,2,2 adultos,2,6,1,1,2021,22575.620000000003,1,-1.922873623457441,43.31267538333444,-2.033693,43.256347
813,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.398498367187184,43.03548039280934,-2.033693,43.256347
9392,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,1,4,1,1,2021,24419.96,3,-2.034646931109597,43.26944640161081,-2.033693,43.256347
2558,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,2,-2.4145100614415567,43.03485147278579,-2.033693,43.256347
5337,Urola Kosta       ,Urola Kosta       ,Azpeitia,Azpeitia,Coche conductor,08:00,22,Azpeitia,2,3,2,2 adultos con niño(s),1,5,1,1,2021,25442.56,3,-2.259565982526908,43.18445521445927,-2.033693,43.256347
935,Debabarrena,Debabarrena,Elgoibar,Elgoibar,Andando,08:00,23,Elgoibar,2,2,2,2 adultos con niño(s),1,5,1,1,2021,27839.11,4,-2.4147454580110748,43.213934732782334,-2.033693,43.256347
1751,Donostialdea,Donostialdea,Usurbil,Donostia/San Sebastian,Coche conductor,08:00,22,Usurbil,2,3,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,3,-2.0502458904965617,43.27355796487532,-2.033693,43.256347
4004,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25976.26,3,-1.9849280389330224,43.324546403595456,-2.033693,43.256347
8601,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche pasajero,08:00,22,Errenteria,2,2,1,Otros hogares sin niños,2,5,1,2,2021,22182.27,1,-1.971230807937934,43.31633992563285,-2.033693,43.256347
1556,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,EUSKOTREN,08:00,22,Donostia/San Sebastian,1,1,1,Hogar de una persona,1,5,1,1,2021,23874.8,2,-1.9685125712410088,43.31571759099385,-2.033693,43.256347
8187,Debabarrena,Debabarrena,Eibar,Eibar,Coche conductor,08:00,23,Eibar,2,3,1,Otros hogares sin niños,1,3,1,1,2021,24570.385,3,-2.475862712545062,43.18500562979774,-2.033693,43.256347
1362,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,08:00,22,Donostia/San Sebastian,2,2,2,2 adultos con niño(s),2,5,1,1,2021,22504.87,1,-1.9487394105955147,43.318123678045616,-2.033693,43.256347
7507,Donostialdea,Donostialdea,Andoain,Andoain,Coche conductor,08:00,22,Andoain,2,3,1,Otros hogares sin niños,1,4,1,1,2021,24436.16,3,-2.022703215224144,43.219457301936,-2.033693,43.256347
9036,Donostialdea,Donostialdea,Hernani,Hernani,Andando,08:00,22,Hernani,1,2,1,2 adultos,1,4,1,1,2021,21912.9,1,-1.98258210180164,43.27404079160231,-2.033693,43.256347
4768,Tolosaldea,Donostialdea,Tolosa,Pasaia,Coche conductor,08:00,99,Errenteria,2,3,1,Otros hogares con niños,1,4,1,1,2021,26038.81,3,-2.0777016066948684,43.130186422063055,-2.033693,43.256347
8572,Donostialdea,Donostialdea,Andoain,Andoain,Andando,08:00,22,Andoain,2,3,1,Otros hogares con niños,1,5,1,1,2021,27432.71,4,-2.018989616101372,43.21493635934185,-2.033693,43.256347
4488,Donostialdea,Donostialdea,Hernani,Hernani,Andando,08:00,99,Hernani,1,2,1,2 adultos,2,6,1,1,2021,21995.520000000004,1,-1.9777628110681704,43.2635284611457,-2.033693,43.256347
4524,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,23,Donostia/San Sebastian,2,1,1,Otros hogares con niños,2,4,1,2,2021,21842.32,1,-1.984489246391264,43.32255643585538,-2.033693,43.256347
5009,Donostialdea,Donostialdea,Lasarte-Oria,Lasarte-Oria,Andando,08:00,22,Lasarte-Oria,2,2,2,Otros hogares sin niños,2,4,1,1,2021,25794.56,3,-2.021243714311456,43.26967376004305,-2.033693,43.256347
7348,Tolosaldea,Tolosaldea,Villabona,Villabona,Andando,08:00,22,Villabona,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23525.76,2,-2.053099482467801,43.186590732750766,-2.033693,43.256347
2749,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Moto,08:00,22,Pasaia,2,2,3,Otros hogares sin niños,1,3,1,2,2021,20197.045,1,-1.9285998657780845,43.32499285336933,-2.033693,43.256347
1505,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,08:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,5,1,1,2021,24932.11,3,-2.003146547055824,43.31122450398968,-2.033693,43.256347
3531,Debabarrena,Debagoiena,Elgoibar,Arrasate/Mondragon,Coche conductor,08:00,22,Elgoibar,2,3,1,2 adultos con niño(s),2,5,1,1,2021,23753.76,2,-2.4192376499466453,43.216269244493496,-2.033693,43.256347
9373,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche pasajero,08:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,4,1,1,2021,24441.16,3,-1.9623900275402504,43.292116255944016,-2.033693,43.256347
4520,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Andando,08:00,22,Hondarribia,2,2,1,Otros hogares sin niños,1,4,1,2,2021,22061.55,1,-1.968847039621592,43.317377966929016,-2.033693,43.256347
10172,Debabarrena,Debabarrena,Eibar,Eibar,Andando,08:00,99,Eibar,2,3,1,Otros hogares sin niños,2,4,1,1,2021,23595.11,2,-2.464763062366913,43.18590035921619,-2.033693,43.256347
